"IndicatorCode","IndicatorName","VariableName","MeasurementName","CountryCode","Alpha3Code","CountryName","TIME","Value",
"21","Gender pay gap in monthly earning, %","Gender pay gap in monthly earning","Percent","031","AZE","Azerbaijan","2006","52.6",
"21","Gender pay gap in monthly earning, %","Gender pay gap in monthly earning","Percent","031","AZE","Azerbaijan","2007","49.5",
"21","Gender pay gap in monthly earning, %","Gender pay gap in monthly earning","Percent","031","AZE","Azerbaijan","2008","43.2",
"21","Gender pay gap in monthly earning, %","Gender pay gap in monthly earning","Percent","031","AZE","Azerbaijan","2009","41.4",
"21","Gender pay gap in monthly earning, %","Gender pay gap in monthly earning","Percent","031","AZE","Azerbaijan","2010","45.2",
"21","Gender pay gap in monthly earning, %","Gender pay gap in monthly earning","Percent","031","AZE","Azerbaijan","2011","48.9",
"21","Gender pay gap in monthly earning, %","Gender pay gap in monthly earning","Percent","031","AZE","Azerbaijan","2012","53.1",
"21","Gender pay gap in monthly earning, %","Gender pay gap in monthly earning","Percent","031","AZE","Azerbaijan","2013","52.5",
"21","Gender pay gap in monthly earning, %","Gender pay gap in monthly earning","Percent","031","AZE","Azerbaijan","2014","45.3",
"21","Gender pay gap in monthly earning, %","Gender pay gap in monthly earning","Percent","031","AZE","Azerbaijan","2015","46.1",
"21","Gender pay gap in monthly earning, %","Gender pay gap in monthly earning","Percent","031","AZE","Azerbaijan","2016","49.7",
"21","Gender pay gap in monthly earning, %","Gender pay gap in monthly earning","Percent","031","AZE","Azerbaijan","2017","49.4",
"21","Gender pay gap in monthly earning, %","Gender pay gap in monthly earning","Percent","031","AZE","Azerbaijan","2018","..",
"21","Gender pay gap in monthly earning, %","Gender pay gap in monthly earning","Percent","112","BLR","Belarus","2005","20.9",
"21","Gender pay gap in monthly earning, %","Gender pay gap in monthly earning","Percent","112","BLR","Belarus","2006","20.1",
"21","Gender pay gap in monthly earning, %","Gender pay gap in monthly earning","Percent","112","BLR","Belarus","2007","21.6",
"21","Gender pay gap in monthly earning, %","Gender pay gap in monthly earning","Percent","112","BLR","Belarus","2008","26.1",
"21","Gender pay gap in monthly earning, %","Gender pay gap in monthly earning","Percent","112","BLR","Belarus","2009","25.4",
"21","Gender pay gap in monthly earning, %","Gender pay gap in monthly earning","Percent","112","BLR","Belarus","2010","23.4",
"21","Gender pay gap in monthly earning, %","Gender pay gap in monthly earning","Percent","112","BLR","Belarus","2011","26.3",
"21","Gender pay gap in monthly earning, %","Gender pay gap in monthly earning","Percent","112","BLR","Belarus","2012","25.5",
"21","Gender pay gap in monthly earning, %","Gender pay gap in monthly earning","Percent","112","BLR","Belarus","2013","25.5",
"21","Gender pay gap in monthly earning, %","Gender pay gap in monthly earning","Percent","112","BLR","Belarus","2014","23.4",
"21","Gender pay gap in monthly earning, %","Gender pay gap in monthly earning","Percent","112","BLR","Belarus","2015","23.8",
"21","Gender pay gap in monthly earning, %","Gender pay gap in monthly earning","Percent","112","BLR","Belarus","2016","21.5",
"21","Gender pay gap in monthly earning, %","Gender pay gap in monthly earning","Percent","112","BLR","Belarus","2017","25.4",
"21","Gender pay gap in monthly earning, %","Gender pay gap in monthly earning","Percent","112","BLR","Belarus","2018","..",
"21","Gender pay gap in monthly earning, %","Gender pay gap in monthly earning","Percent","056","BEL","Belgium","2005","24.7",
"21","Gender pay gap in monthly earning, %","Gender pay gap in monthly earning","Percent","056","BEL","Belgium","2006","23.6",
"21","Gender pay gap in monthly earning, %","Gender pay gap in monthly earning","Percent","056","BEL","Belgium","2007","23.5",
"21","Gender pay gap in monthly earning, %","Gender pay gap in monthly earning","Percent","056","BEL","Belgium","2008","22.9",
"21","Gender pay gap in monthly earning, %","Gender pay gap in monthly earning","Percent","056","BEL","Belgium","2009","21.9",
"21","Gender pay gap in monthly earning, %","Gender pay gap in monthly earning","Percent","056","BEL","Belgium","2010","21.7",
"21","Gender pay gap in monthly earning, %","Gender pay gap in monthly earning","Percent","056","BEL","Belgium","2011","21.1",
"21","Gender pay gap in monthly earning, %","Gender pay gap in monthly earning","Percent","056","BEL","Belgium","2012","20.4",
"21","Gender pay gap in monthly earning, %","Gender pay gap in monthly earning","Percent","056","BEL","Belgium","2013","20.2",
"21","Gender pay gap in monthly earning, %","Gender pay gap in monthly earning","Percent","056","BEL","Belgium","2014","20.2",
"21","Gender pay gap in monthly earning, %","Gender pay gap in monthly earning","Percent","056","BEL","Belgium","2015","20.0",
"21","Gender pay gap in monthly earning, %","Gender pay gap in monthly earning","Percent","056","BEL","Belgium","2016","20.2",
"21","Gender pay gap in monthly earning, %","Gender pay gap in monthly earning","Percent","056","BEL","Belgium","2017","..",
"21","Gender pay gap in monthly earning, %","Gender pay gap in monthly earning","Percent","056","BEL","Belgium","2018","..",
"21","Gender pay gap in monthly earning, %","Gender pay gap in monthly earning","Percent","100","BGR","Bulgaria","2005","17.7",
"21","Gender pay gap in monthly earning, %","Gender pay gap in monthly earning","Percent","100","BGR","Bulgaria","2006","16.8",
"21","Gender pay gap in monthly earning, %","Gender pay gap in monthly earning","Percent","100","BGR","Bulgaria","2007","16.6",
"21","Gender pay gap in monthly earning, %","Gender pay gap in monthly earning","Percent","100","BGR","Bulgaria","2008","17.9",
"21","Gender pay gap in monthly earning, %","Gender pay gap in monthly earning","Percent","100","BGR","Bulgaria","2009","19.2",
"21","Gender pay gap in monthly earning, %","Gender pay gap in monthly earning","Percent","100","BGR","Bulgaria","2010","19.4",
"21","Gender pay gap in monthly earning, %","Gender pay gap in monthly earning","Percent","100","BGR","Bulgaria","2011","19.3",
"21","Gender pay gap in monthly earning, %","Gender pay gap in monthly earning","Percent","100","BGR","Bulgaria","2012","20.5",
"21","Gender pay gap in monthly earning, %","Gender pay gap in monthly earning","Percent","100","BGR","Bulgaria","2013","19.7",
"21","Gender pay gap in monthly earning, %","Gender pay gap in monthly earning","Percent","100","BGR","Bulgaria","2014","20.1",
"21","Gender pay gap in monthly earning, %","Gender pay gap in monthly earning","Percent","100","BGR","Bulgaria","2015","21.2",
"21","Gender pay gap in monthly earning, %","Gender pay gap in monthly earning","Percent","100","BGR","Bulgaria","2016","20.1",
"21","Gender pay gap in monthly earning, %","Gender pay gap in monthly earning","Percent","100","BGR","Bulgaria","2017","20.1",
"21","Gender pay gap in monthly earning, %","Gender pay gap in monthly earning","Percent","100","BGR","Bulgaria","2018","..",
"21","Gender pay gap in monthly earning, %","Gender pay gap in monthly earning","Percent","124","CAN","Canada","2005","27.3",
"21","Gender pay gap in monthly earning, %","Gender pay gap in monthly earning","Percent","124","CAN","Canada","2006","27.2",
"21","Gender pay gap in monthly earning, %","Gender pay gap in monthly earning","Percent","124","CAN","Canada","2007","26.9",
"21","Gender pay gap in monthly earning, %","Gender pay gap in monthly earning","Percent","124","CAN","Canada","2008","27.0",
"21","Gender pay gap in monthly earning, %","Gender pay gap in monthly earning","Percent","124","CAN","Canada","2009","25.8",
