indicator,country_code,country,year,value_f,note_f,value_m,note_m
All causes of death,AUS,Australia,2000,61726,,67058,
All causes of death,AUS,Australia,2001,61842,,66815,
All causes of death,AUS,Australia,2002,64369,,68678,
All causes of death,AUS,Australia,2003,63844,,67940,
All causes of death,AUS,Australia,2004,64046,,68268,
All causes of death,AUS,Australia,2006,65183,,68556,
All causes of death,AUS,Australia,2007,67285,,70569,
All causes of death,AUS,Australia,2008,70398,,73548,
All causes of death,AUS,Australia,2009,68440,,72320,
All causes of death,AUS,Australia,2010,69989,,73484,
All causes of death,AUS,Australia,2011,71602,,75330,
All causes of death,AUS,Australia,2012,72304,,74794,
All causes of death,AUS,Australia,2013,71896,,75782,
All causes of death,AUS,Australia,2014,75239,,78341,
All causes of death,AUS,Australia,2015,77722,,81330,
All causes of death,AUS,Australia,2016,76637,,81867,
All causes of death,AUS,Australia,2017,78051,,82858,
Certain infectious and parasitic diseases,AUS,Australia,2000,787,,871,
Certain infectious and parasitic diseases,AUS,Australia,2001,801,,898,
Certain infectious and parasitic diseases,AUS,Australia,2002,834,,942,
Certain infectious and parasitic diseases,AUS,Australia,2003,821,,921,
Certain infectious and parasitic diseases,AUS,Australia,2004,835,,966,
Certain infectious and parasitic diseases,AUS,Australia,2006,926,,1043,
Certain infectious and parasitic diseases,AUS,Australia,2007,885,,972,
Certain infectious and parasitic diseases,AUS,Australia,2008,954,,1015,
Certain infectious and parasitic diseases,AUS,Australia,2009,852,,974,
Certain infectious and parasitic diseases,AUS,Australia,2010,1025,,1125,
Certain infectious and parasitic diseases,AUS,Australia,2011,1158,,1242,
Certain infectious and parasitic diseases,AUS,Australia,2012,1172,,1222,
Certain infectious and parasitic diseases,AUS,Australia,2013,1359,,1323,
Certain infectious and parasitic diseases,AUS,Australia,2014,1323,,1412,
Certain infectious and parasitic diseases,AUS,Australia,2015,1397,,1460,
Certain infectious and parasitic diseases,AUS,Australia,2016,1384,,1445,
Certain infectious and parasitic diseases,AUS,Australia,2017,1307,,1329,
HIV-AIDS,AUS,Australia,2000,10,,124,
HIV-AIDS,AUS,Australia,2001,11,,109,
HIV-AIDS,AUS,Australia,2002,10,,101,
HIV-AIDS,AUS,Australia,2003,11,,99,
HIV-AIDS,AUS,Australia,2004,7,,100,
HIV-AIDS,AUS,Australia,2006,11,,90,
HIV-AIDS,AUS,Australia,2007,9,,78,
HIV-AIDS,AUS,Australia,2008,8,,59,
HIV-AIDS,AUS,Australia,2009,5,,74,
HIV-AIDS,AUS,Australia,2010,7,,64,
HIV-AIDS,AUS,Australia,2011,9,,82,
HIV-AIDS,AUS,Australia,2012,5,,70,
HIV-AIDS,AUS,Australia,2013,7,,55,
HIV-AIDS,AUS,Australia,2014,2,,54,
HIV-AIDS,AUS,Australia,2015,5,,40,
HIV-AIDS,AUS,Australia,2016,6,,52,
HIV-AIDS,AUS,Australia,2017,1,,55,
Malignant neoplasms,AUS,Australia,2000,15546,,20279,
Malignant neoplasms,AUS,Australia,2001,16026,,20683,
Malignant neoplasms,AUS,Australia,2002,16441,,21017,
Malignant neoplasms,AUS,Australia,2003,16469,,20976,
Malignant neoplasms,AUS,Australia,2004,16619,,21399,
Malignant neoplasms,AUS,Australia,2006,16876,,21858,
Malignant neoplasms,AUS,Australia,2007,17095,,22269,
Malignant neoplasms,AUS,Australia,2008,18003,,23347,
Malignant neoplasms,AUS,Australia,2009,17803,,23201,
Malignant neoplasms,AUS,Australia,2010,18308,,24039,
Malignant neoplasms,AUS,Australia,2011,18477,,24206,
Malignant neoplasms,AUS,Australia,2012,18466,,23998,
Malignant neoplasms,AUS,Australia,2013,18888,,24614,
Malignant neoplasms,AUS,Australia,2014,19196,,24360,
Malignant neoplasms,AUS,Australia,2015,19866,,25460,
Malignant neoplasms,AUS,Australia,2016,19622,,25539,
Malignant neoplasms,AUS,Australia,2017,19706,,25524,
"Malignant neoplasms of colon, rectum and anus",AUS,Australia,2000,2149,,2569,
"Malignant neoplasms of colon, rectum and anus",AUS,Australia,2001,2153,,2601,
"Malignant neoplasms of colon, rectum and anus",AUS,Australia,2002,2187,,2414,
"Malignant neoplasms of colon, rectum and anus",AUS,Australia,2003,2019,,2410,
"Malignant neoplasms of colon, rectum and anus",AUS,Australia,2004,1896,,2228,
"Malignant neoplasms of colon, rectum and anus",AUS,Australia,2006,1711,,2146,
"Malignant neoplasms of colon, rectum and anus",AUS,Australia,2007,1889,,2223,
"Malignant neoplasms of colon, rectum and anus",AUS,Australia,2008,1891,,2234,
"Malignant neoplasms of colon, rectum and anus",AUS,Australia,2009,1814,,2254,
"Malignant neoplasms of colon, rectum and anus",AUS,Australia,2010,1816,,2245,
"Malignant neoplasms of colon, rectum and anus",AUS,Australia,2011,1839,,2248,
"Malignant neoplasms of colon, rectum and anus",AUS,Australia,2012,1813,,2241,
"Malignant neoplasms of colon, rectum and anus",AUS,Australia,2013,1903,,2332,
"Malignant neoplasms of colon, rectum and anus",AUS,Australia,2014,1890,,2281,
"Malignant neoplasms of colon, rectum and anus",AUS,Australia,2015,2043,,2395,
"Malignant neoplasms of colon, rectum and anus",AUS,Australia,2016,1966,,2451,
"Malignant neoplasms of colon, rectum and anus",AUS,Australia,2017,1927,,2371,
"Malignant neoplasms of trachea, bronchus, lung",AUS,Australia,2000,2317,,4594,
"Malignant neoplasms of trachea, bronchus, lung",AUS,Australia,2001,2383,,4658,
"Malignant neoplasms of trachea, bronchus, lung",AUS,Australia,2002,2526,,4719,
"Malignant neoplasms of trachea, bronchus, lung",AUS,Australia,2003,2481,,4505,
"Malignant neoplasms of trachea, bronchus, lung",AUS,Australia,2004,2527,,4734,
"Malignant neoplasms of trachea, bronchus, lung",AUS,Australia,2006,2685,,4668,
"Malignant neoplasms of trachea, bronchus, lung",AUS,Australia,2007,2914,,4721,
"Malignant neoplasms of trachea, bronchus, lung",AUS,Australia,2008,2928,,5028,
"Malignant neoplasms of trachea, bronchus, lung",AUS,Australia,2009,3024,,4762,
"Malignant neoplasms of trachea, bronchus, lung",AUS,Australia,2010,3167,,4935,
"Malignant neoplasms of trachea, bronchus, lung",AUS,Australia,2011,3155,,4962,
"Malignant neoplasms of trachea, bronchus, lung",AUS,Australia,2012,3255,,4883,
"Malignant neoplasms of trachea, bronchus, lung",AUS,Australia,2013,3221,,4994,
"Malignant neoplasms of trachea, bronchus, lung",AUS,Australia,2014,3304,,4948,
"Malignant neoplasms of trachea, bronchus, lung",AUS,Australia,2015,3478,,4992,
"Malignant neoplasms of trachea, bronchus, lung",AUS,Australia,2016,3387,,5024,
"Malignant neoplasms of trachea, bronchus, lung",AUS,Australia,2017,3351,,4911,
Malignant neoplasms of Female breast,AUS,Australia,2000,2521,,,
Malignant neoplasms of Female breast,AUS,Australia,2001,2594,,,
Malignant neoplasms of Female breast,AUS,Australia,2002,2681,,,
Malignant neoplasms of Female breast,AUS,Australia,2003,2710,,,
Malignant neoplasms of Female breast,AUS,Australia,2004,2664,,,
Malignant neoplasms of Female breast,AUS,Australia,2006,2617,,,
Malignant neoplasms of Female breast,AUS,Australia,2007,2683,,,
Malignant neoplasms of Female breast,AUS,Australia,2008,2775,,,
Malignant neoplasms of Female breast,AUS,Australia,2009,2772,,,
Malignant neoplasms of Female breast,AUS,Australia,2010,2842,,,
Malignant neoplasms of Female breast,AUS,Australia,2011,2915,,,
Malignant neoplasms of Female breast,AUS,Australia,2012,2795,,,
Malignant neoplasms of Female breast,AUS,Australia,2013,2862,,,
Malignant neoplasms of Female breast,AUS,Australia,2014,2814,,,
Malignant neoplasms of Female breast,AUS,Australia,2015,2939,,,
Malignant neoplasms of Female breast,AUS,Australia,2016,2978,,,
Malignant neoplasms of Female breast,AUS,Australia,2017,2898,,,
Malignant neoplasms of cervix uteri,AUS,Australia,2000,265,,,
Malignant neoplasms of cervix uteri,AUS,Australia,2001,271,,,
Malignant neoplasms of cervix uteri,AUS,Australia,2002,217,,,
Malignant neoplasms of cervix uteri,AUS,Australia,2003,239,,,
Malignant neoplasms of cervix uteri,AUS,Australia,2004,210,,,
Malignant neoplasms of cervix uteri,AUS,Australia,2006,224,,,
Malignant neoplasms of cervix uteri,AUS,Australia,2007,208,,,
Malignant neoplasms of cervix uteri,AUS,Australia,2008,235,,,
Malignant neoplasms of cervix uteri,AUS,Australia,2009,240,,,
Malignant neoplasms of cervix uteri,AUS,Australia,2010,231,,,
Malignant neoplasms of cervix uteri,AUS,Australia,2011,229,,,
Malignant neoplasms of cervix uteri,AUS,Australia,2012,225,,,
Malignant neoplasms of cervix uteri,AUS,Australia,2013,224,,,
Malignant neoplasms of cervix uteri,AUS,Australia,2014,223,,,
Malignant neoplasms of cervix uteri,AUS,Australia,2015,230,,,
Malignant neoplasms of cervix uteri,AUS,Australia,2016,259,,,
Malignant neoplasms of cervix uteri,AUS,Australia,2017,230,,,
Diseases of the blood and blood-forming organs,AUS,Australia,2000,218,,188,
Diseases of the blood and blood-forming organs,AUS,Australia,2001,226,,184,
Diseases of the blood and blood-forming organs,AUS,Australia,2002,253,,184,
Diseases of the blood and blood-forming organs,AUS,Australia,2003,255,,189,
Diseases of the blood and blood-forming organs,AUS,Australia,2004,265,,219,
Diseases of the blood and blood-forming organs,AUS,Australia,2006,267,,228,
Diseases of the blood and blood-forming organs,AUS,Australia,2007,281,,202,
Diseases of the blood and blood-forming organs,AUS,Australia,2008,259,,245,
Diseases of the blood and blood-forming organs,AUS,Australia,2009,233,,196,
Diseases of the blood and blood-forming organs,AUS,Australia,2010,208,,196,
Diseases of the blood and blood-forming organs,AUS,Australia,2011,235,,228,
Diseases of the blood and blood-forming organs,AUS,Australia,2012,233,,201,
Diseases of the blood and blood-forming organs,AUS,Australia,2013,283,,219,
Diseases of the blood and blood-forming organs,AUS,Australia,2014,286,,249,
Diseases of the blood and blood-forming organs,AUS,Australia,2015,288,,237,
Diseases of the blood and blood-forming organs,AUS,Australia,2016,257,,234,
Diseases of the blood and blood-forming organs,AUS,Australia,2017,272,,265,
"Endocrine, nutritional and metabolic diseases",AUS,Australia,2000,2031,,2147,
"Endocrine, nutritional and metabolic diseases",AUS,Australia,2001,2107,,2226,
"Endocrine, nutritional and metabolic diseases",AUS,Australia,2002,2241,,2380,
"Endocrine, nutritional and metabolic diseases",AUS,Australia,2003,2289,,2483,
"Endocrine, nutritional and metabolic diseases",AUS,Australia,2004,2507,,2528,
"Endocrine, nutritional and metabolic diseases",AUS,Australia,2006,2627,,2531,
"Endocrine, nutritional and metabolic diseases",AUS,Australia,2007,2736,,2644,
"Endocrine, nutritional and metabolic diseases",AUS,Australia,2008,2984,,2903,
"Endocrine, nutritional and metabolic diseases",AUS,Australia,2009,2995,,2888,
"Endocrine, nutritional and metabolic diseases",AUS,Australia,2010,2906,,2804,
"Endocrine, nutritional and metabolic diseases",AUS,Australia,2011,3085,,2995,
"Endocrine, nutritional and metabolic diseases",AUS,Australia,2012,3048,,3002,
"Endocrine, nutritional and metabolic diseases",AUS,Australia,2013,3012,,3096,
"Endocrine, nutritional and metabolic diseases",AUS,Australia,2014,3103,,3116,
"Endocrine, nutritional and metabolic diseases",AUS,Australia,2015,3280,,3409,
"Endocrine, nutritional and metabolic diseases",AUS,Australia,2016,3240,,3527,
"Endocrine, nutritional and metabolic diseases",AUS,Australia,2017,3327,,3493,
Diabetes mellitus,AUS,Australia,2000,1418,,1591,
Diabetes mellitus,AUS,Australia,2001,1444,,1649,
Diabetes mellitus,AUS,Australia,2002,1531,,1765,
Diabetes mellitus,AUS,Australia,2003,1598,,1827,
Diabetes mellitus,AUS,Australia,2004,1715,,1851,
Diabetes mellitus,AUS,Australia,2006,1839,,1830,
Diabetes mellitus,AUS,Australia,2007,1890,,1928,
Diabetes mellitus,AUS,Australia,2008,2046,,2135,
Diabetes mellitus,AUS,Australia,2009,2055,,2121,
Diabetes mellitus,AUS,Australia,2010,1956,,1990,
Diabetes mellitus,AUS,Australia,2011,2033,,2178,
Diabetes mellitus,AUS,Australia,2012,2041,,2200,
Diabetes mellitus,AUS,Australia,2013,2032,,2301,
Diabetes mellitus,AUS,Australia,2014,2138,,2219,
Diabetes mellitus,AUS,Australia,2015,2206,,2484,
Diabetes mellitus,AUS,Australia,2016,2197,,2584,
Diabetes mellitus,AUS,Australia,2017,2256,,2583,
Mental and behavioural disorders,AUS,Australia,2000,1726,,1351,
Mental and behavioural disorders,AUS,Australia,2001,1622,,1074,
Mental and behavioural disorders,AUS,Australia,2002,1914,,1243,
Mental and behavioural disorders,AUS,Australia,2003,2007,,1231,
Mental and behavioural disorders,AUS,Australia,2004,2179,,1227,
Mental and behavioural disorders,AUS,Australia,2006,3294,,1840,
Mental and behavioural disorders,AUS,Australia,2007,3601,,2090,
Mental and behavioural disorders,AUS,Australia,2008,4022,,2355,
Mental and behavioural disorders,AUS,Australia,2009,4122,,2396,
Mental and behavioural disorders,AUS,Australia,2010,4524,,2506,
Mental and behavioural disorders,AUS,Australia,2011,4867,,2774,
Mental and behavioural disorders,AUS,Australia,2012,5198,,2915,
Mental and behavioural disorders,AUS,Australia,2013,5243,,2948,
Mental and behavioural disorders,AUS,Australia,2014,5735,,3271,
Mental and behavioural disorders,AUS,Australia,2015,6001,,3604,
Mental and behavioural disorders,AUS,Australia,2016,6140,,3795,
Mental and behavioural disorders,AUS,Australia,2017,6350,,3807,
Diseases of the nervous system,AUS,Australia,2000,2214,,1851,
Diseases of the nervous system,AUS,Australia,2001,2327,,1906,
Diseases of the nervous system,AUS,Australia,2002,2456,,2141,
Diseases of the nervous system,AUS,Australia,2003,2428,,1906,
Diseases of the nervous system,AUS,Australia,2004,2527,,2035,
Diseases of the nervous system,AUS,Australia,2006,2733,,2208,
Diseases of the nervous system,AUS,Australia,2007,2969,,2522,
Diseases of the nervous system,AUS,Australia,2008,3248,,2748,
Diseases of the nervous system,AUS,Australia,2009,3147,,2772,
Diseases of the nervous system,AUS,Australia,2010,3429,,2791,
Diseases of the nervous system,AUS,Australia,2011,3708,,3054,
Diseases of the nervous system,AUS,Australia,2012,3873,,3042,
Diseases of the nervous system,AUS,Australia,2013,4152,,3389,
Diseases of the nervous system,AUS,Australia,2014,4337,,3815,
Diseases of the nervous system,AUS,Australia,2015,4583,,3936,
Diseases of the nervous system,AUS,Australia,2016,4685,,4138,
Diseases of the nervous system,AUS,Australia,2017,4952,,4280,
Diseases of the circulatory system,AUS,Australia,2000,26055,,23778,
Diseases of the circulatory system,AUS,Australia,2001,25816,,23718,
Diseases of the circulatory system,AUS,Australia,2002,26102,,23875,
Diseases of the circulatory system,AUS,Australia,2003,25320,,23283,
Diseases of the circulatory system,AUS,Australia,2004,24692,,22853,
Diseases of the circulatory system,AUS,Australia,2006,24194,,21720,
Diseases of the circulatory system,AUS,Australia,2007,24678,,22280,
Diseases of the circulatory system,AUS,Australia,2008,25774,,22899,
Diseases of the circulatory system,AUS,Australia,2009,24190,,21993,
Diseases of the circulatory system,AUS,Australia,2010,23887,,21633,
Diseases of the circulatory system,AUS,Australia,2011,23758,,21879,
Diseases of the circulatory system,AUS,Australia,2012,23024,,21014,
Diseases of the circulatory system,AUS,Australia,2013,22499,,21116,
Diseases of the circulatory system,AUS,Australia,2014,23416,,21653,
Diseases of the circulatory system,AUS,Australia,2015,23538,,22104,
Diseases of the circulatory system,AUS,Australia,2016,22314,,21843,
Diseases of the circulatory system,AUS,Australia,2017,22086,,21391,
Ischaemic heart diseases,AUS,Australia,2000,12537,,14069,
Ischaemic heart diseases,AUS,Australia,2001,12348,,13956,
Ischaemic heart diseases,AUS,Australia,2002,12116,,13768,
Ischaemic heart diseases,AUS,Australia,2003,11855,,13440,
Ischaemic heart diseases,AUS,Australia,2004,11419,,13130,
Ischaemic heart diseases,AUS,Australia,2006,10846,,12286,
Ischaemic heart diseases,AUS,Australia,2007,10681,,12275,
Ischaemic heart diseases,AUS,Australia,2008,11267,,12546,
Ischaemic heart diseases,AUS,Australia,2009,10491,,12096,
Ischaemic heart diseases,AUS,Australia,2010,9998,,11720,
Ischaemic heart diseases,AUS,Australia,2011,9785,,11741,
Ischaemic heart diseases,AUS,Australia,2012,9154,,10954,
Ischaemic heart diseases,AUS,Australia,2013,8754,,11024,
Ischaemic heart diseases,AUS,Australia,2014,9093,,11106,
Ischaemic heart diseases,AUS,Australia,2015,8739,,11172,
Ischaemic heart diseases,AUS,Australia,2016,8236,,10949,
Ischaemic heart diseases,AUS,Australia,2017,8076,,10514,
Acute myocardial infarction,AUS,Australia,2000,7094,,7654,
Acute myocardial infarction,AUS,Australia,2001,6981,,7517,
Acute myocardial infarction,AUS,Australia,2002,6778,,7423,
Acute myocardial infarction,AUS,Australia,2003,6499,,6875,
Acute myocardial infarction,AUS,Australia,2004,6065,,6645,
Acute myocardial infarction,AUS,Australia,2006,5694,,5826,
Acute myocardial infarction,AUS,Australia,2007,5513,,5919,
Acute myocardial infarction,AUS,Australia,2008,5598,,5576,
Acute myocardial infarction,AUS,Australia,2009,5146,,5204,
Acute myocardial infarction,AUS,Australia,2010,4886,,5065,
Acute myocardial infarction,AUS,Australia,2011,4796,,5034,
Acute myocardial infarction,AUS,Australia,2012,4544,,4752,
Acute myocardial infarction,AUS,Australia,2013,4069,,4544,
Acute myocardial infarction,AUS,Australia,2014,4258,,4374,
Acute myocardial infarction,AUS,Australia,2015,4015,,4448,
Acute myocardial infarction,AUS,Australia,2016,3758,,4273,
Acute myocardial infarction,AUS,Australia,2017,3642,,4171,
Cerebrovascular diseases,AUS,Australia,2000,7437,,4909,
Cerebrovascular diseases,AUS,Australia,2001,7333,,4868,
Cerebrovascular diseases,AUS,Australia,2002,7502,,4957,
Cerebrovascular diseases,AUS,Australia,2003,7361,,4848,
Cerebrovascular diseases,AUS,Australia,2004,7217,,4802,
Cerebrovascular diseases,AUS,Australia,2006,6996,,4483,
Cerebrovascular diseases,AUS,Australia,2007,6982,,4523,
Cerebrovascular diseases,AUS,Australia,2008,7246,,4733,
Cerebrovascular diseases,AUS,Australia,2009,6704,,4512,
Cerebrovascular diseases,AUS,Australia,2010,6877,,4339,
Cerebrovascular diseases,AUS,Australia,2011,6821,,4424,
Cerebrovascular diseases,AUS,Australia,2012,6537,,4248,
Cerebrovascular diseases,AUS,Australia,2013,6371,,4172,
Cerebrovascular diseases,AUS,Australia,2014,6469,,4260,
Cerebrovascular diseases,AUS,Australia,2015,6502,,4365,
Cerebrovascular diseases,AUS,Australia,2016,6225,,4244,
Cerebrovascular diseases,AUS,Australia,2017,5884,,4302,
Diseases of the respiratory system,AUS,Australia,2000,5001,,5987,
Diseases of the respiratory system,AUS,Australia,2001,4922,,5700,
Diseases of the respiratory system,AUS,Australia,2002,5463,,6177,
Diseases of the respiratory system,AUS,Australia,2003,5665,,6163,
Diseases of the respiratory system,AUS,Australia,2004,5610,,6023,
Diseases of the respiratory system,AUS,Australia,2006,5160,,5717,
Diseases of the respiratory system,AUS,Australia,2007,5552,,6071,
Diseases of the respiratory system,AUS,Australia,2008,5350,,5925,
Diseases of the respiratory system,AUS,Australia,2009,5214,,5831,
Diseases of the respiratory system,AUS,Australia,2010,5735,,6226,
Diseases of the respiratory system,AUS,Australia,2011,5965,,6553,
Diseases of the respiratory system,AUS,Australia,2012,6438,,6822,
Diseases of the respiratory system,AUS,Australia,2013,5917,,6558,
Diseases of the respiratory system,AUS,Australia,2014,6614,,7181,
Diseases of the respiratory system,AUS,Australia,2015,7120,,7257,
Diseases of the respiratory system,AUS,Australia,2016,7340,,7482,
Diseases of the respiratory system,AUS,Australia,2017,8013,,8190,
Influenza,AUS,Australia,2000,39,,27,
Influenza,AUS,Australia,2001,17,,15,
Influenza,AUS,Australia,2002,31,,24,
Influenza,AUS,Australia,2003,36,,29,
Influenza,AUS,Australia,2004,20,,16,
Influenza,AUS,Australia,2006,8,,8,
Influenza,AUS,Australia,2007,44,,29,
Influenza,AUS,Australia,2008,31,,15,
Influenza,AUS,Australia,2009,32,,18,
Influenza,AUS,Australia,2010,15,,9,
Influenza,AUS,Australia,2011,30,,17,
Influenza,AUS,Australia,2012,87,,65,
Influenza,AUS,Australia,2013,36,,35,
Influenza,AUS,Australia,2014,127,,117,
Influenza,AUS,Australia,2015,164,,127,
Influenza,AUS,Australia,2016,271,,184,
Influenza,AUS,Australia,2017,740,,508,
Chronic obstructive Pulmonary diseases,AUS,Australia,2000,2068,,3319,
Chronic obstructive Pulmonary diseases,AUS,Australia,2001,2130,,3183,
Chronic obstructive Pulmonary diseases,AUS,Australia,2002,2281,,3346,
Chronic obstructive Pulmonary diseases,AUS,Australia,2003,2238,,3154,
Chronic obstructive Pulmonary diseases,AUS,Australia,2004,2236,,3002,
Chronic obstructive Pulmonary diseases,AUS,Australia,2006,2095,,2731,
Chronic obstructive Pulmonary diseases,AUS,Australia,2007,2192,,2976,
Chronic obstructive Pulmonary diseases,AUS,Australia,2008,2395,,3142,
Chronic obstructive Pulmonary diseases,AUS,Australia,2009,2313,,2985,
Chronic obstructive Pulmonary diseases,AUS,Australia,2010,2441,,2976,
Chronic obstructive Pulmonary diseases,AUS,Australia,2011,2599,,3275,
Chronic obstructive Pulmonary diseases,AUS,Australia,2012,2632,,3290,
Chronic obstructive Pulmonary diseases,AUS,Australia,2013,2890,,3574,
Chronic obstructive Pulmonary diseases,AUS,Australia,2014,3115,,3914,
Chronic obstructive Pulmonary diseases,AUS,Australia,2015,3348,,3846,
Chronic obstructive Pulmonary diseases,AUS,Australia,2016,3314,,3913,
Chronic obstructive Pulmonary diseases,AUS,Australia,2017,3513,,4005,
Diseases of the digestive system,AUS,Australia,2000,2083,,2062,
Diseases of the digestive system,AUS,Australia,2001,2025,,2028,
Diseases of the digestive system,AUS,Australia,2002,2260,,2225,
Diseases of the digestive system,AUS,Australia,2003,2206,,2288,
Diseases of the digestive system,AUS,Australia,2004,2232,,2293,
Diseases of the digestive system,AUS,Australia,2006,2210,,2324,
Diseases of the digestive system,AUS,Australia,2007,2373,,2431,
Diseases of the digestive system,AUS,Australia,2008,2528,,2442,
Diseases of the digestive system,AUS,Australia,2009,2516,,2498,
Diseases of the digestive system,AUS,Australia,2010,2584,,2536,
Diseases of the digestive system,AUS,Australia,2011,2616,,2594,
Diseases of the digestive system,AUS,Australia,2012,2668,,2587,
Diseases of the digestive system,AUS,Australia,2013,2656,,2766,
Diseases of the digestive system,AUS,Australia,2014,2673,,2815,
Diseases of the digestive system,AUS,Australia,2015,2866,,2858,
Diseases of the digestive system,AUS,Australia,2016,2863,,2910,
Diseases of the digestive system,AUS,Australia,2017,2909,,3021,
Chronic liver diseases and cirrhosis,AUS,Australia,2000,271,,655,
Chronic liver diseases and cirrhosis,AUS,Australia,2001,246,,678,
Chronic liver diseases and cirrhosis,AUS,Australia,2002,324,,775,
Chronic liver diseases and cirrhosis,AUS,Australia,2003,265,,737,
Chronic liver diseases and cirrhosis,AUS,Australia,2004,295,,758,
Chronic liver diseases and cirrhosis,AUS,Australia,2006,296,,740,
Chronic liver diseases and cirrhosis,AUS,Australia,2007,307,,698,
Chronic liver diseases and cirrhosis,AUS,Australia,2008,327,,766,
Chronic liver diseases and cirrhosis,AUS,Australia,2009,318,,765,
Chronic liver diseases and cirrhosis,AUS,Australia,2010,320,,795,
Chronic liver diseases and cirrhosis,AUS,Australia,2011,321,,768,
Chronic liver diseases and cirrhosis,AUS,Australia,2012,300,,751,
Chronic liver diseases and cirrhosis,AUS,Australia,2013,376,,881,
Chronic liver diseases and cirrhosis,AUS,Australia,2014,342,,947,
Chronic liver diseases and cirrhosis,AUS,Australia,2015,431,,925,
Chronic liver diseases and cirrhosis,AUS,Australia,2016,390,,876,
Chronic liver diseases and cirrhosis,AUS,Australia,2017,403,,988,
Diseases of the skin and subcutaneous tissue,AUS,Australia,2000,150,,94,
Diseases of the skin and subcutaneous tissue,AUS,Australia,2001,163,,106,
Diseases of the skin and subcutaneous tissue,AUS,Australia,2002,215,,121,
Diseases of the skin and subcutaneous tissue,AUS,Australia,2003,195,,112,
Diseases of the skin and subcutaneous tissue,AUS,Australia,2004,207,,126,
Diseases of the skin and subcutaneous tissue,AUS,Australia,2006,194,,139,
Diseases of the skin and subcutaneous tissue,AUS,Australia,2007,216,,148,
Diseases of the skin and subcutaneous tissue,AUS,Australia,2008,218,,181,
Diseases of the skin and subcutaneous tissue,AUS,Australia,2009,253,,133,
Diseases of the skin and subcutaneous tissue,AUS,Australia,2010,252,,146,
Diseases of the skin and subcutaneous tissue,AUS,Australia,2011,253,,190,
Diseases of the skin and subcutaneous tissue,AUS,Australia,2012,250,,148,
Diseases of the skin and subcutaneous tissue,AUS,Australia,2013,246,,189,
Diseases of the skin and subcutaneous tissue,AUS,Australia,2014,278,,202,
Diseases of the skin and subcutaneous tissue,AUS,Australia,2015,335,,199,
Diseases of the skin and subcutaneous tissue,AUS,Australia,2016,303,,230,
Diseases of the skin and subcutaneous tissue,AUS,Australia,2017,304,,247,
Diseases of the musculoskeletal system and connective tissue,AUS,Australia,2000,578,,278,
Diseases of the musculoskeletal system and connective tissue,AUS,Australia,2001,610,,287,
Diseases of the musculoskeletal system and connective tissue,AUS,Australia,2002,665,,348,
Diseases of the musculoskeletal system and connective tissue,AUS,Australia,2003,698,,312,
Diseases of the musculoskeletal system and connective tissue,AUS,Australia,2004,693,,335,
Diseases of the musculoskeletal system and connective tissue,AUS,Australia,2006,753,,328,
Diseases of the musculoskeletal system and connective tissue,AUS,Australia,2007,759,,346,
Diseases of the musculoskeletal system and connective tissue,AUS,Australia,2008,770,,401,
Diseases of the musculoskeletal system and connective tissue,AUS,Australia,2009,765,,313,
Diseases of the musculoskeletal system and connective tissue,AUS,Australia,2010,800,,379,
Diseases of the musculoskeletal system and connective tissue,AUS,Australia,2011,792,,380,
Diseases of the musculoskeletal system and connective tissue,AUS,Australia,2012,782,,378,
Diseases of the musculoskeletal system and connective tissue,AUS,Australia,2013,808,,377,
Diseases of the musculoskeletal system and connective tissue,AUS,Australia,2014,816,,421,
Diseases of the musculoskeletal system and connective tissue,AUS,Australia,2015,859,,459,
Diseases of the musculoskeletal system and connective tissue,AUS,Australia,2016,903,,473,
Diseases of the musculoskeletal system and connective tissue,AUS,Australia,2017,911,,490,
Diseases of the genitourinary system,AUS,Australia,2000,1495,,1176,
Diseases of the genitourinary system,AUS,Australia,2001,1587,,1259,
Diseases of the genitourinary system,AUS,Australia,2002,1654,,1323,
Diseases of the genitourinary system,AUS,Australia,2003,1649,,1331,
Diseases of the genitourinary system,AUS,Australia,2004,1626,,1348,
Diseases of the genitourinary system,AUS,Australia,2006,1766,,1533,
Diseases of the genitourinary system,AUS,Australia,2007,1826,,1505,
Diseases of the genitourinary system,AUS,Australia,2008,1786,,1547,
Diseases of the genitourinary system,AUS,Australia,2009,1835,,1574,
Diseases of the genitourinary system,AUS,Australia,2010,1848,,1552,
Diseases of the genitourinary system,AUS,Australia,2011,1817,,1659,
Diseases of the genitourinary system,AUS,Australia,2012,2081,,1736,
Diseases of the genitourinary system,AUS,Australia,2013,1704,,1404,
Diseases of the genitourinary system,AUS,Australia,2014,1815,,1427,
Diseases of the genitourinary system,AUS,Australia,2015,1923,,1631,
Diseases of the genitourinary system,AUS,Australia,2016,1894,,1569,
Diseases of the genitourinary system,AUS,Australia,2017,1996,,1702,
"Complications of pregnancy, childbirth and the puerperium",AUS,Australia,2000,13,,,
"Complications of pregnancy, childbirth and the puerperium",AUS,Australia,2001,12,,,
"Complications of pregnancy, childbirth and the puerperium",AUS,Australia,2002,13,,,
"Complications of pregnancy, childbirth and the puerperium",AUS,Australia,2003,8,,,
"Complications of pregnancy, childbirth and the puerperium",AUS,Australia,2004,12,,,
"Complications of pregnancy, childbirth and the puerperium",AUS,Australia,2006,11,,,
"Complications of pregnancy, childbirth and the puerperium",AUS,Australia,2007,6,,,
